Sl,Text,Extracted Name,Extracted Location,Extracted Organization
30,"['squad: javier pertile, paolo vaccari, marcello cuttitta, ivan francescato, leandro manteri, diego dominguez, francesco mazzariol, alessandro troncon, orazio arancio, andrea sgorlon, massimo giovanelli, carlo checchinato, walter cristofoletto, franco properzi curti, carlo orlandi, massimo cuttitta, giambatista croci, gianluca guidi, nicola mazzucato, alessandro moscardi, andrea castellani.']","['javier', 'pertile', 'paolo', 'vaccari', 'marcello', 'cuttitta', 'ivan', 'francescato', 'leandro', 'manteri', 'diego', 'dominguez', 'francesco', 'mazzariol', 'alessandro', 'troncon', 'orazio', 'arancio', 'andrea', 'sgorlon', 'massimo', 'giovanelli', 'carlo', 'checchinato', 'walter', 'cristofoletto', 'franco', 'properzi', 'curti', 'carlo', 'orlandi', 'massimo', 'cuttitta', 'giambatista', 'croci', 'gianluca', 'guidi', 'nicola', 'mazzucato', 'alessandro', 'moscardi', 'andrea', 'castellani']",[],[]
31,['-docstart- soccer- late goals give japan win over syria.'],[],"['japan', 'syria']",[]
32,"['al-ain, united arab emirates 1996-12-06 two goals in the last six minutes gave holders japan an uninspiring 2-1 asian cup victory over syria on friday.']",[],"['japan', 'syria']",[]
33,['takuya takagi headed the winner in the 88th minute of the group c game after goalkeeper salem bitar spoiled a mistake-free display by allowing the ball to slip under his body.'],"['takuya', 'takagi', 'salem', 'bitar']",[],[]
34,['it was the second syrian defensive blunder in four minutes.'],[],[],[]
35,"[""defender hassan abbas rose to intercept a long ball into the area in the 84th minute but only managed to divert it into the top corner of bitar's goal.""]","['hassan', 'abbas']",[],[]
36,['syria had taken the lead from their first serious attack in the seventh minute.'],[],['syria'],[]
37,"[""nader jokhadar headed a cross from the right by ammar awad into the top right corner of kenichi shimokawa's goal.""]","['nader', 'jokhadar']",[],[]
38,['japan then laid siege to the syrian penalty area and had a goal disallowed for offside in the 16th minute.'],[],['japan'],[]
39,"[""a minute later, bitar produced a good double save, first from kazuyoshi miura's header and then blocked a takagi follow-up shot.""]",['bitar'],[],"['kazuyoshi', 'miura']"
40,"['bitar saved well again from miura in the 37th minute, parrying away his header from a corner.']",[],[],[]
41,"[""japan started the second half brightly but bitar denied them an equaliser when he dived to his right to save naoki soma's low drive in the 53rd minute.""]","['bitar', 'naoki', 'soma']",['japan'],[]
42,"['japan: 19- kenichi shimokawa, 2- hiroshige yanagimoto, 3- naoki soma, 4- masami ihara, 5- norio omura, 6- motohiro yamaguchi, 8- masakiyo maezono( 7- yasuto honda 71), 9- takuya takagi, 10- hiroshi nanami, 11- kazuyoshi miura, 15- hiroaki morishima( 14- masayuki okano 75).']","['kenichi', 'shimokawa', 'hiroshige', 'yanagimoto', 'naoki', 'soma', 'masami', 'ihara', 'norio', 'omura', 'motohiro', 'yamaguchi', 'masakiyo', 'maezono', 'yasuto', 'honda', 'takuya', 'takagi', 'hiroshi', 'nanami', 'kazuyoshi', 'miura', 'hiroaki', 'morishima', 'masayuki', 'okano']",['japan'],[]
43,"['syria: 24- salem bitar, 3- bachar srour; 4- hassan abbas, 5- tarek jabban, 6- ammar awad( 9- louay taleb 69), 8- nihad al-boushi, 10- mohammed afash, 12- ali dib, 13- abdul latif helou( 17- ammar rihawiy 46), 14- khaled zaher; 16- nader jokhadar.']","['salem', 'bitar', 'bachar', 'srour', 'hassan', 'abbas', 'tarek', 'jabban', 'ammar', 'awad', 'louay', 'taleb', 'nihad', 'al-boushi', 'mohammed', 'afash', 'ali', 'dib', 'abdul', 'latif', 'helou', 'ammar', 'rihawiy', 'khaled', 'zaher', 'nader', 'jokhadar']",['syria'],[]
44,['-docstart- freestyle skiing-world cup mogul results.'],[],[],[]
45,"['tignes, france 1996-12-06 results of the world cup freestyle skiing moguls competition on friday: men 1.']",[],"['tignes', 'france']",[]
46,['jesper ronnback( sweden) 25.76'],"['jesper', 'ronnback']",['sweden'],[]
47,['points 2.'],[],[],[]
48,['andrei ivanov( russia) 24.88'],"['andrei', 'ivanov']",['russia'],[]
49,['3.'],[],[],[]
50,['ryan johnson( canada) 24.57'],"['ryan', 'johnson']",['canada'],[]
51,['4.'],[],[],[]
52,['jean-luc brassard( canada) 24.40'],"['jean-luc', 'brassard']",['canada'],[]
53,['5.'],[],[],[]
54,['korneilus hole( norway) 23.92'],"['korneilus', 'hole']",['norway'],[]
55,['6.'],[],[],[]
56,['jeremie collomb-patton( france) 23.87'],"['jeremie', 'collomb-patton']",['france'],[]
57,['7.'],[],[],[]
58,['jim moran( u.s.'],"['jim', 'moran']",['u.s.'],[]
59,[') 23.25'],[],[],[]
60,['8.'],[],[],[]
61,['dominick gauthier( canada) 22.73'],"['dominick', 'gauthier']",['canada'],[]
62,['9.'],[],[],[]
63,['johann gregoire( france) 22.58'],"['johann', 'gregoire']",['france'],[]
64,['10.'],[],[],[]
65,['troy benson( u.s.'],"['troy', 'benson']",['u.s.'],[]
66,[') 22.56'],[],[],[]
67,['women 1.'],[],[],[]
68,['tatjana mittermayer( germany) 24.32'],"['tatjana', 'mittermayer']",['germany'],[]
69,['2.'],[],[],[]
70,['candice gilg( france) 24.31'],"['candice', 'gilg']",['france'],[]
71,['3.'],[],[],[]
72,['minna karhu( finland) 24.05'],"['minna', 'karhu']",['finland'],[]
73,['4.'],[],[],[]
74,['tae satoya( japan) 23.75'],"['tae', 'satoya']",['japan'],[]
75,['5.'],[],[],[]
76,['ann battellle( u.s.'],"['ann', 'battellle']",['u.s.'],[]
77,[') 23.56'],[],[],[]
78,['6.'],[],[],[]
79,['donna weinbrecht( u.s.'],"['donna', 'weinbrecht']",['u.s.'],[]
80,[') 22.48'],[],[],[]
81,['7.'],[],[],[]
82,['liz mcintyre( u.s.'],"['liz', 'mcintyre']",['u.s.'],[]
83,[') 22.00'],[],[],[]
84,['8.'],[],[],[]
85,['elena koroleva( russia) 21.77'],"['elena', 'koroleva']",['russia'],[]
86,['9.'],[],[],[]
87,['ljudmila dymchenko( russia) 21.59'],"['ljudmila', 'dymchenko']",['russia'],[]
88,['10.'],[],[],[]
89,['katleen allais( france) 21.58'],"['katleen', 'allais']",['france'],[]
90,['-docstart- soccer- asian cup group c results.'],[],[],[]
91,"['al-ain, united arab emirates 1996-12-06 results of asian cup group c matches played on friday: japan 2 syria 1( halftime 0-1) scorers: japan- hassan abbas 84 own goal, takuya takagi 88.']","['hassan', 'takuya', 'takagi']","['al-ain', 'united', 'japan', 'syria', 'japan']",[]
92,"['syria- nader jokhadar 7 attendance: 10,000.']",['nader'],['syria'],[]
93,"['china 0 uzbekistan 2( halftime 0-0) scorers: shkvyrin igor 78, shatskikh oleg 90 attendence: 3,000 standings( tabulate under played, won, drawn, lost, goals for, goals against, points): uzbekistan 1 1 0 0 2 0 3 japan 1 1 0 0 2 1 3 syria 1 0 0 1 1 2 0 china 1 0 0 1 0 2 0 -docstart- cricket- pakistan v new zealand one-day scoreboard.']","['shkvyrin', 'igor']","['china', 'japan', 'syria', 'china', 'pakistan', 'new', 'zealand']","['uzbekistan', 'uzbekistan']"
94,"['[ corrected 14:06 gmt] sialkot, pakistan 1996-12-06 scoreboard in the second one-day cricket international between pakistan and new zealand on friday: pakistan saeed anwar run out 91( corrects from 90) zahoor elahi b cairns 86( corrects from 87) ijaz ahmad c spearman b vaughan 59 inzamamul haq st germon b astle 2 wasim akram b harris 4 shahid afridi b harris 2 moin khan c astle b harris 1 waqar younis st germon b harris 0 saqlain mushtaq b harris 2 mushtaq ahmad not out 5 salim malik not out 1 extras( lb-8 nb-2 w-14) 24 total( for 9 wickets in 47 overs) 277 fall of wicket: 1-177( corrects from 1-178) 2-225 3-240 4-247 5-252 6-260 7-261 8-269 9-276 bowling: doull 8-1-60-0( w-3), kennedy 3-0-24-0( w-7 nb-1), cairns 8-1-35-1( w-2), vaughan 9-1-55-1, harris 10-0-42-5( w-1), astle 9-0-53-1( w-1 nb-1) new zealand innings b.']","['saeed', 'anwar', 'zahoor', 'elahi', 'cairns', 'ijaz', 'ahmad', 'spearman', 'vaughan', 'inzamamul', 'haq', 'germon', 'astle', 'wasim', 'akram', 'harris', 'shahid', 'afridi', 'harris', 'moin', 'khan', 'astle', 'harris', 'waqar', 'younis', 'germon', 'harris', 'saqlain', 'mushtaq', 'harris', 'mushtaq', 'salim', 'malik', 'lb-8', '7-261', '8-269', 'doull', '8-1-60-0', 'kennedy', '3-0-24-0', 'w-7', 'nb-1', 'cairns', '8-1-35-1', 'vaughan', '9-1-55-1', 'harris', '10-0-42-5', 'astle', '9-0-53-1', 'b.']","['sialkot', 'pakistan', 'pakistan', 'new', 'zealand', 'pakistan', 'new', 'zealand']",['st']
95,['young c moin khan b waqar 5 c.'],"['young', 'moin', 'khan', 'waqar', 'c.']",[],[]
96,['spearman c moin khan b wasim 0 a.'],"['spearman', 'moin', 'khan', 'wasim', 'a.']",[],[]
97,['parore c ijaz ahmad b saqlain 37 s.'],"['parore', 'ijaz', 'ahmad', 'saqlain', 's.']",[],[]
98,['fleming c and b afridi 88 c.'],"['fleming', 'afridi', 'c.']",[],[]
99,['cairns b saqlain 10 n.'],"['saqlain', 'n.']",[],[]
100,['astle c ijaz ahmad b salim malik 20 c.'],"['astle', 'ijaz', 'ahmad', 'salim', 'malik', 'c.']",[],[]
101,['harris lbw b wasim 22 l.'],"['harris', 'wasim']",[],[]
102,['germon lbw b afridi 2 j.'],"['germon', 'afridi', 'j.']",[],[]
103,['vaughan c moin khan b wasim 13 s.'],"['vaughan', 'moin', 'khan', 'wasim', 's.']",[],[]
104,['doull c subs( m.'],"['doull', 'm.']",[],[]
105,['wasim) b waqar 1 r.'],"['wasim', 'waqar', 'r.']",[],[]
106,['kennedy not out 7 extras( b-9 lb-3 w-12 nb-2) 26 total( all out in 42.1'],['kennedy'],[],[]
107,['overs) 231 fall of wickets: 1-3 2-7 3-125 4-146 5-170 6-190 7-195 8-213 9-216.'],[],[],[]
108,['bowling: wasim akram 8.1-0-43-3'],"['wasim', 'akram']",[],[]
109,"['( 9w, 1nb), waqar younis 6-0-32-2( 2w, 1nb), saqlain mushtaq 8-0-54-2, mushtaq ahmad 10-0-42-0( 1w), shahid afridi 7-0-40-2, salim malik 2.5-0-8-1']","['waqar', 'younis', 'saqlain', 'mushtaq', 'mushtaq', 'ahmad', '10-0-42-0', 'shahid', 'afridi', 'salim', 'malik']",[],[]
110,"[', ijaz ahmad 0.1-0-0-0']","['ijaz', 'ahmad']",[],[]
111,['.'],[],[],[]
112,['result: pakistan won by 46 runs.'],[],['pakistan'],[]
113,"['third one-day match: december 8, in karachi.']",[],['karachi'],[]
114,['-docstart- soccer- english f.a.'],[],[],[]
115,['cup second round result.'],[],[],[]
116,['london 1996-12-06 result of an english f.a.'],[],['london'],[]
117,['challenge cup second round match on friday: plymouth 4 exeter 1 -docstart- soccer- blinker ban lifted.'],[],[],"['plymouth', 'exeter']"
118,['london 1996-12-06 dutch forward reggie blinker had his indefinite suspension lifted by fifa on friday and was set to make his sheffield wednesday comeback against liverpool on saturday.'],"['reggie', 'blinker']",['london'],"['sheffield', 'liverpool']"
119,"[""blinker missed his club's last two games after fifa slapped a worldwide ban on him for appearing to sign contracts for both wednesday and udinese while he was playing for feyenoord.""]",['blinker'],[],['feyenoord']
120,"[""fifa's players' status committee, meeting in barcelona, decided that although the udinese document was basically valid, it could not be legally protected.""]",['fifa'],['barcelona'],['udinese']
121,"['the committee said the italian club had violated regulations by failing to inform feyenoord, with whom the player was under contract.']",['violated'],[],['feyenoord']
122,"['blinker was fined 75,000 swiss francs($ 57,600) for failing to inform the engllsh club of his previous commitment to udinese.']",[],[],['udinese']
123,"[""-docstart- soccer- leeds' bowyer fined for part in fast-food fracas.""]",[],[],['leeds']
124,"[""london 1996-12-06 leeds' england under-21 striker lee bowyer was fined 4,500 pounds($ 7,400) on friday for hurling chairs at restaurant staff during a disturbance at a mcdonald's fast-food restaurant.""]","['lee', 'bowyer']","['london', 'england']","['leeds', 'hurling']"
125,"['bowyer, 19, who was caught in the act by security cameras, pleaded guilty to a charge of affray at a court in london.']","['bowyer', 'cameras', 'pleaded']",['london'],[]
126,['he was fined and ordered to pay a total of 175 pounds to two members of staff injured in the fracas in an east london restaurant in october.'],[],"['east', 'london']",[]
127,"['leeds had already fined bowyer 4,000 pounds($ 6,600) and warned him a repeat of his criminal behaviour could cost him his place in the side.']",[],[],['leeds']
128,"['bowyer, who moved to the yorkshire club in august for 3.5']",['bowyer'],[],['yorkshire']
129,['million pounds($ 5.8'],[],[],[]
130,"['million), was expected to play against middlesbrough on saturday.']",[],[],['middlesbrough']
131,['-docstart- basketball- euroleague standings.'],['euroleague'],[],[]
132,"[""london 1996-12-06 standings in the men's euroleague basketball championship after thursday's matches( tabulate under played, won, lost, points): group a cska moscow( russia 9 6 3 15 stefanel milan( italy) 9 6 3 15 maccabi tel aviv( israel) 9 5 4 14 ulker spor( turkey) 9 4 5 13 limoges( france) 9 3 6 12 panionios( greece) 9 3 6 12 group b teamsystem bologna( italy) 9 7 2 16 olympiakos( greece) 9 5 4 14 cibona zagreb( croatia) 9 5 4 14 alba berlin( germany) 9 5 4 14 estudiantes madrid( spain) 9 5 4 14 charleroi( belgium) 9 0 9 9 group c panathinaikos( greece) 9 7 2 16 ljubljana( slovenia) 9 6 3 15 villeurbanne( france) 9 6 3 15 barcelona( spain) 9 4 5 13 split( croatia) 9 4 5 13 bayer leverkusen( germany) 9 0 9 9 group d efes pilsen( turkey) 9 7 2 16 pau-orthez( france) 9 5 4 14 partizan belgrade( yugoslavia) 9 5 4 14 kinder bologna( italy) 9 4 5 13 sevilla( spain) 9 4 5 13 dynamo moscow( russia) 9 2 7 11 -docstart- rugby union- little to miss campese farewell.""]","['stefanel', 'milan', 'tel', 'aviv', 'ulker', 'spor', 'teamsystem', 'bologna', 'alba', 'berlin', 'estudiantes', '16', 'ljubljana', 'villeurbanne', '16', 'pau-orthez', 'kinder', 'bologna', 'sevilla', 'little']","['london', 'italy', 'israel', 'turkey', 'greece', 'italy', 'germany', 'spain', 'belgium', 'greece', 'slovenia', 'france', 'spain', 'croatia', 'germany', 'turkey', 'italy', 'spain', 'russia']","['cska', 'moscow', 'russia', 'limoges', 'france', 'panionios', 'olympiakos', 'greece', 'cibona', 'zagreb', 'croatia', 'madrid', 'charleroi', 'panathinaikos', 'barcelona', 'split', 'bayer', 'leverkusen', 'efes', 'pilsen', 'france', 'partizan', 'belgrade', 'yugoslavia', 'dynamo', 'moscow', 'rugby', 'union']"
133,"[""robert kitson london 1996-12-06 centre jason little will miss australia's end-of-tour fixture against the barbarians at twickenham on saturday.""]","['robert', 'kitson', 'jason']","['london', 'australia', 'twickenham']",['miss']
134,['little has opted not to risk aggravating the knee injury which ruled him out of a large chunk of the tour and is replaced by fellow queenslander daniel herbert.'],"['daniel', 'herbert']",[],[]
135,"[""owen finegan has recovered from the knocks he took in last weekend's test against wales and retains his place in the back-row ahead of daniel manu.""]","['owen', 'finegan', 'daniel', 'manu']",['wales'],[]
136,['the wallabies have their sights set on a 13th successive victory to end their european tour with a 100 percent record but also want to turn on the style and provide david campese with a fitting send-off in his final match in australian colours.'],"['david', 'campese']",[],[]
137,"['the wallabies currently have no plans to make any special presentation to the 34-year-old winger but a full house of 75,000 spectators will still gather in the hope of witnessing one last moment of magic.']",[],[],[]
138,"['campese will be up against a familiar foe in the shape of barbarians captain rob andrew, the man who kicked australia to defeat with a last-ditch drop-goal in the world cup quarter-final in cape town.']","['rob', 'andrew']","['australia', 'cape', 'town']",[]
139,"['campo has a massive following in this country and has had the public with him ever since he first played here in 1984,']",['campo'],[],[]
140,"['said andrew, also likely to be making his final twickenham appearance.']",['andrew'],[],[]
141,"['on tour, australia have won all four tests against italy, scotland, ireland and wales, and scored 414 points at an average of almost 35 points a game.']",[],"['australia', 'italy', 'scotland', 'ireland', 'wales']",[]
142,"[""league duties restricted the barbarians' selectorial options but they still boast 13 internationals including england full-back tim stimpson and recalled wing tony underwood, plus all black forwards ian jones and norm hewitt.""]","['tim', 'stimpson', 'tony', 'underwood', 'ian', 'jones', 'norm', 'hewitt']",['england'],[]
143,"['teams: barbarians- 15- tim stimpson( england); 14- nigel walker( wales), 13- allan bateman( wales), 12- gregor townsend( scotland), 11- tony underwood( england); 10- rob andrew( england), 9- rob howley( wales); 8- scott quinnell( wales), 7- neil back( england), 6- dale mcintosh( pontypridd), 5- ian jones( new zealand), 4- craig quinnell( wales), 3- darren garforth( leicester), 2- norm hewitt( new zealand), 1- nick popplewell( ireland).']","['tim', 'stimpson', 'nigel', 'walker', 'allan', 'bateman', 'gregor', 'townsend', 'tony', 'underwood', 'rob', 'andrew', 'rob', 'howley', 'scott', 'quinnell', 'neil', 'back', 'dale', 'mcintosh', 'ian', 'jones', 'craig', 'quinnell', 'darren', 'garforth', 'norm', 'hewitt', 'nick', 'popplewell']","['england', 'wales', 'wales', 'scotland', 'england', 'england', 'wales', 'wales', 'england', 'new', 'zealand', 'wales', 'leicester', 'new', 'zealand', 'ireland']","['barbarians', 'pontypridd']"
144,"['australia- 15- matthew burke; 14- joe roff, 13- daniel herbert, 12- tim horan( captain), 11- david campese; 10- pat howard, 9- sam payne; 8- michael brial, 7- david wilson, 6- owen finegan, 5- david giffin, 4- tim gavin, 3- andrew blades, 2- marco caputo, 1- dan crowley.']","['matthew', 'burke', 'joe', 'roff', 'daniel', 'herbert', 'tim', 'horan', 'david', 'campese', 'pat', 'howard', 'sam', 'payne', 'michael', 'brial', 'david', 'wilson', 'owen', 'finegan', 'david', 'giffin', 'tim', 'gavin', 'andrew', 'blades', 'marco', 'caputo', 'dan', 'crowley']",['australia'],[]
145,['-docstart- golf- zimbabwe open second round scores.'],[],[],[]
146,"['harare 1996-12-06 leading second round scores in the zimbabwe open at the par-72 chapman golf club on friday( south african unless stated): 132 des terblanche 65 67 133 mark mcnulty( zimbabwe) 72 61 134 steve van vuuren 65 69 136 nick price( zimbabwe) 68 68, justin hobday 71 65, andrew pitts( u.s.']","['132', 'des', 'terblanche', 'mark', 'mcnulty', 'steve', 'van', 'vuuren', 'nick', 'price', 'justin', 'hobday', 'andrew', 'pitts']","['harare', 'chapman', 'zimbabwe', 'zimbabwe', 'u.s.']",[]
147,"[') 69 67 138 mark cayeux( zimbabwe) 69 69, mark murless 71 67 139 hennie swart 75 64, andrew park 72 67 140 schalk van der merwe( namibia) 67 73, desvonde botes 72 68, greg reid 72 68, clinton whitelaw 70 70, brett liddle 75 65, hugh baiocchi 73 67 141 adilson da silva( brazil) 72 69, sammy daniels 73 68, trevor dodds( namibia) 72 69 142 don robertson( u.s.']","['mark', 'cayeux', 'mark', 'murless', 'hennie', 'swart', 'andrew', 'park', 'schalk', 'van', 'der', 'merwe', 'desvonde', 'botes', 'greg', 'reid', 'clinton', 'whitelaw', 'brett', 'liddle', 'hugh', 'baiocchi', 'da', 'silva', 'sammy', 'daniels', 'trevor', 'dodds', 'don', 'robertson']","['zimbabwe', 'namibia', 'brazil', 'namibia', 'u.s.']",[]
148,"[') 73 69, dion fourie 69 73, steve waltman 72 70, ian dougan 73 69 -docstart- soccer- uncapped players called to face macedonia.']","['dion', 'fourie', 'steve', 'waltman', 'ian', 'dougan']",['macedonia'],[]
149,['bucharest 1996-12-06 romania trainer anghel iordanescu called up three uncapped players on friday in his squad to face macedonia next week in a world cup qualifier.'],"['bucharest', 'anghel', 'iordanescu']","['romania', 'macedonia']",[]
150,['midfielder valentin stefan and striker viorel ion of otelul galati and defender liviu ciobotariu of national bucharest are the newcomers for the european group eight clash in macedonia on december 14.'],"['valentin', 'stefan', 'liviu', 'ciobotariu']",['macedonia'],"['otelul', 'galati', 'national', 'bucharest']"
151,['iordanescu said he had picked them because of their good performances in the domestic championship in which national bucharest are top and otelul galati third.'],['iordanescu'],['bucharest'],[]
152,"[""i think it's fair to give them a chance,""]",[],[],[]
153,['he told reporters.'],[],[],[]
154,"[""league title-holders steaua bucharest, who finished bottom of their champions' league group in the european cup, have only two players in the squad.""]","['steaua', 'bucharest']",[],[]
155,"['attacking midfielder adrian ilie, who recently moved from steaua to turkish club galatasaray, is ruled out after two yellow-card offences.']","['adrian', 'ilie', 'galatasaray']",[],['attacking']
156,"['squad: goalkeepers- bogdan stelea, florin prunea.']","['bogdan', 'stelea', 'florin', 'prunea']",[],[]
157,"['defenders- dan petrescu, daniel prodan, anton dobos, cornel papura, liviu ciobotariu, tibor selymess, iulian filipescu.']","['dan', 'petrescu', 'daniel', 'prodan', 'anton', 'dobos', 'cornel', 'papura', 'liviu', 'ciobotariu', 'tibor', 'selymess', 'iulian', 'filipescu']",[],[]
158,"['midfielders- gheorghe hagi, gheorghe popescu, constantin galca, valentin stefan, basarab panduru, dorinel munteanu, ovidiu stinga.']","['gheorghe', 'hagi', 'gheorghe', 'popescu', 'constantin', 'galca', 'valentin', 'stefan', 'basarab', 'panduru', 'dorinel', 'munteanu', 'ovidiu', 'stinga']",[],[]
159,"['forwards- ioan vladoiu, gheorghe craioveanu, ionel danciulescu, viorel ion.']","['ioan', 'vladoiu', 'gheorghe', 'craioveanu', 'ionel', 'danciulescu', 'viorel', 'ion']",[],['forwards']
160,['reuter -docstart- soccer- brazilian championship results.'],['reuter'],[],[]
161,"['rio de janeiro 1996-12-05 results of brazilian soccer championship semifinal, first leg matches on thursday.']",[],"['rio', 'de', 'janeiro']",[]
162,['goias 1 gremio 3 portuguesa 1 atletico mineiro 0 -docstart- cricket- lara endures another miserable day.'],"['lara', 'endures']",[],"['goias', 'gremio', 'portuguesa', 'atletico', 'mineiro']"
163,['robert galvin melbourne 1996-12-06 australia gave brian lara another reason to be miserable when they beat west indies by five wickets in the opening world series limited overs match on friday.'],"['brian', 'lara']","['melbourne', 'australia', 'west', 'indies']",['robert']
164,"['lara, disciplined for misconduct on wednesday, was dismissed for five to extend a disappointing run of form on tour.']",[],"['lara', 'disciplined']",[]
165,"[""australia, who hold a 2-0 lead in the five-match test series, overhauled west indies' total of 172 all out with eight balls to spare to end a run of six successive one-day defeats.""]",[],"['australia', 'west', 'indies']",[]
166,"['all-rounder greg blewett steered his side to a comfortable victory with an unbeaten 57 in 90 balls to the delight of the 42,442 crowd.']","['greg', 'blewett']",[],[]
167,['man-of-the match blewett came to the wicket with the total on 70 for two and hit three fours during an untroubled innings lasting 129 minutes.'],['blewett'],[],[]
168,"['his crucial fifth-wicket partnership with fellow all-rounder stuart law, who scored 21, added 71 off 85 balls.']","['stuart', 'law']",[],[]
169,['lara looked out of touch during his brief stay at the crease before chipping a simple catch to shane warne at mid-wicket.'],['shane'],['mid-wicket'],[]
170,"[""west indies tour manager clive lloyd has apologised for lara's behaviour on tuesday.""]","['clive', 'lloyd']",['west'],['lara']
171,"[""he( lara) had told australia coach geoff marsh that wicketkeeper ian healy was unwelcome in the visitors' dressing room.""]","['geoff', 'marsh', 'ian', 'healy']",['australia'],[]
172,"['the melbourne crowd were clearly angered by the incident, loudly jeering the west indies vice-captain as he walked to the middle.']",['loudly'],"['west', 'indies', 'middle']",['melbourne']
173,['it was left to fellow left-hander shivnarine chanderpaul to hold the innings together with a gritty 54 despite the handicap of an injured groin.'],[],[],[]
174,['chanderpaul was forced to rely on a runner for most of his innings after hurting himself as he scurried back to his crease to avoid being run out.'],['chanderpaul'],[],[]
175,"['pakistan, who arrive in australia later this month, are the other team competing in the world series tournament.']",[],"['pakistan', 'australia']",[]
176,['-docstart- cricket- australia v west indies world series scoreboard.'],[],"['australia', 'west']",[]
177,['melbourne 1996-12-06 scoreboard in the world series limited overs match between australia and west indies on friday: west indies s.'],['s.'],"['melbourne', 'australia', 'west', 'indies', 'west', 'indies']",[]
178,['campbell c healy b gillespie 31 r.'],"['campbell', 'healy', 'gillespie', 'r.']",[],[]
179,['samuels c m.'],['m.'],[],[]
180,['waugh b gillespie 7 b.'],"['waugh', 'gillespie', 'b.']",[],[]
181,['lara c warne b moody 5 s.'],"['lara', 's.']",[],['moody']
182,['chanderpaul c healy b blewett 54 c.'],"['chanderpaul', 'healy', 'blewett', 'c.']",[],[]
183,['hooper run out 7 j.'],"['hooper', 'j.']",[],[]
184,['adams lbw b moody 5 j.'],"['adams', 'j.']",[],['moody']
185,['murray c blewett b warne 24 n.'],"['murray', 'blewett', 'warne', 'n.']",[],[]
186,['mclean c and b m.'],"['mclean', 'm.']",[],[]
